1506.8917, -62.759, 1506.8917, -62.446, 1506.8917, -61.465, 1506.8917, -60.753, 1506.8917, -60.287, 1506.8917, -61.012,  , 
1506.9130, -63.059, 1506.9130, -62.325, 1506.9130, -61.284, 1506.9130, -60.928, 1506.9130, -60.174, 1506.9130, -60.932,  , 
1506.9342, -62.972, 1506.9342, -62.430, 1506.9342, -61.589, 1506.9342, -60.650, 1506.9342, -60.353, 1506.9342, -61.005,  , 
1506.9555, -62.866, 1506.9555, -62.290, 1506.9555, -61.256, 1506.9555, -60.724, 1506.9555, -60.445, 1506.9555, -60.709,  , 
1506.9767, -62.523, 1506.9767, -62.537, 1506.9767, -61.128, 1506.9767, -60.705, 1506.9767, -60.406, 1506.9767, -60.933,  , 
1506.9980, -62.699, 1506.9980, -62.265, 1506.9980, -61.494, 1506.9980, -60.678, 1506.9980, -60.338, 1506.9980, -61.061,  , 
1507.0193, -62.843, 1507.0193, -62.209, 1507.0193, -61.252, 1507.0193, -60.577, 1507.0193, -60.300, 1507.0193, -60.997,  , 
1507.0405, -62.905, 1507.0405, -62.250, 1507.0405, -61.261, 1507.0405, -60.524, 1507.0405, -60.360, 1507.0405, -61.105,  , 
1507.0618, -62.498, 1507.0618, -62.098, 1507.0618, -61.208, 1507.0618, -60.476, 1507.0618, -60.221, 1507.0618, -61.139,  , 
1507.0830, -63.038, 1507.0830, -62.122, 1507.0830, -61.306, 1507.0830, -60.269, 1507.0830, -60.394, 1507.0830, -61.090,  , 
1507.1043, -62.751, 1507.1043, -61.904, 1507.1043, -61.243, 1507.1043, -60.543, 1507.1043, -60.432, 1507.1043, -61.210,  , 
1507.1255, -63.028, 1507.1255, -62.254, 1507.1255, -60.995, 1507.1255, -60.346, 1507.1255, -60.288, 1507.1255, -61.248,  , 
1507.1468, -62.567, 1507.1468, -61.933, 1507.1468, -61.098, 1507.1468, -60.323, 1507.1468, -60.416, 1507.1468, -61.348,  , 
1507.1680, -63.163, 1507.1680, -61.825, 1507.1680, -60.961, 1507.1680, -60.172, 1507.1680, -60.282, 1507.1680, -60.890,  , 
1507.1893, -63.144, 1507.1893, -61.902, 1507.1893, -61.135, 1507.1893, -60.250, 1507.1893, -60.475, 1507.1893, -61.243,  , 
1507.2106, -62.675, 1507.2106, -61.683, 1507.2106, -61.052, 1507.2106, -60.224, 1507.2106, -60.261, 1507.2106, -61.353,  , 
