1507.0830,-55.544,1507.0830,-54.857,1507.0830,-54.798,1507.0830,-55.295,1507.0830,-55.119,1507.0830,-54.040
1507.1043,-55.552,1507.1043,-54.817,1507.1043,-54.884,1507.1043,-55.180,1507.1043,-55.091,1507.1043,-53.996
1507.1255,-55.455,1507.1255,-54.807,1507.1255,-54.876,1507.1255,-55.337,1507.1255,-55.042,1507.1255,-53.943
1507.1468,-55.529,1507.1468,-54.731,1507.1468,-54.849,1507.1468,-55.390,1507.1468,-55.085,1507.1468,-53.907
1507.1680,-55.435,1507.1680,-54.794,1507.1680,-54.862,1507.1680,-55.234,1507.1680,-55.055,1507.1680,-53.926
1507.1893,-55.437,1507.1893,-54.748,1507.1893,-54.807,1507.1893,-55.290,1507.1893,-55.003,1507.1893,-53.848
1507.2106,-55.358,1507.2106,-54.730,1507.2106,-54.826,1507.2106,-55.324,1507.2106,-54.980,1507.2106,-53.814
1507.2318,-55.381,1507.2318,-54.775,1507.2318,-54.852,1507.2318,-55.256,1507.2318,-54.987,1507.2318,-53.818
1507.2531,-55.344,1507.2531,-54.763,1507.2531,-54.854,1507.2531,-55.286,1507.2531,-55.009,1507.2531,-53.746
1507.2743,-55.296,1507.2743,-54.762,1507.2743,-54.874,1507.2743,-55.267,1507.2743,-54.946,1507.2743,-53.691
1507.2956,-55.261,1507.2956,-54.688,1507.2956,-54.815,1507.2956,-55.345,1507.2956,-54.932,1507.2956,-53.694
1507.3168,-55.216,1507.3168,-54.725,1507.3168,-54.879,1507.3168,-55.312,1507.3168,-55.024,1507.3168,-53.638
1507.3381,-55.224,1507.3381,-54.693,1507.3381,-54.807,1507.3381,-55.286,1507.3381,-54.943,1507.3381,-53.674
1507.3593,-55.226,1507.3593,-54.712,1507.3593,-54.885,1507.3593,-55.282,1507.3593,-54.876,1507.3593,-53.568
1507.3806,-55.109,1507.3806,-54.721,1507.3806,-54.900,1507.3806,-55.318,1507.3806,-54.823,1507.3806,-53.535
1507.4019,-55.132,1507.4019,-54.703,1507.4019,-54.830,1507.4019,-55.336,1507.4019,-54.799,1507.4019,-53.534
1507.4231,-55.181,1507.4231,-54.677,1507.4231,-54.872,1507.4231,-55.242,1507.4231,-54.832,1507.4231,-53.489
1507.4444,-55.054,1507.4444,-54.606,1507.4444,-54.952,1507.4444,-55.283,1507.4444,-54.771,1507.4444,-53.416
1507.4656,-55.077,1507.4656,-54.675,1507.4656,-54.863,1507.4656,-55.272,1507.4656,-54.718,1507.4656,-53.409
1507.4869,-55.053,1507.4869,-54.671,1507.4869,-54.885,1507.4869,-55.277,1507.4869,-54.761,1507.4869,-53.384
1507.5081,-54.999,1507.5081,-54.609,1507.5081,-54.845,1507.5081,-55.184,1507.5081,-54.746,1507.5081,-53.361
1507.5294,-55.050,1507.5294,-54.650,1507.5294,-54.900,1507.5294,-55.279,1507.5294,-54.688,1507.5294,-53.327
1507.5506,-54.947,1507.5506,-54.590,1507.5506,-54.932,1507.5506,-55.205,1507.5506,-54.648,1507.5506,-53.294
1507.5719,-54.952,1507.5719,-54.598,1507.5719,-54.877,1507.5719,-55.296,1507.5719,-54.613,1507.5719,-53.247
1507.5931,-54.948,1507.5931,-54.611,1507.5931,-54.988,1507.5931,-55.219,1507.5931,-54.641,1507.5931,-53.216
1507.6144,-54.952,1507.6144,-54.592,1507.6144,-54.914,1507.6144,-55.227,1507.6144,-54.612,1507.6144,-53.180
1507.6357,-54.921,1507.6357,-54.607,1507.6357,-54.884,1507.6357,-55.231,1507.6357,-54.580,1507.6357,-53.194
1507.6569,-54.844,1507.6569,-54.634,1507.6569,-54.968,1507.6569,-55.205,1507.6569,-54.531,1507.6569,-53.100
1507.6782,-54.884,1507.6782,-54.573,1507.6782,-54.917,1507.6782,-55.134,1507.6782,-54.454,1507.6782,-53.103
1507.6994,-54.836,1507.6994,-54.574,1507.6994,-54.951,1507.6994,-55.215,1507.6994,-54.509,1507.6994,-53.053
1507.7207,-54.837,1507.7207,-54.596,1507.7207,-54.897,1507.7207,-55.132,1507.7207,-54.464,1507.7207,-53.069
1507.7419,-54.840,1507.7419,-54.588,1507.7419,-54.886,1507.7419,-55.133,1507.7419,-54.375,1507.7419,-52.996
1507.7632,-54.728,1507.7632,-54.639,1507.7632,-54.950,1507.7632,-55.144,1507.7632,-54.303,1507.7632,-52.979
1507.7844,-54.756,1507.7844,-54.550,1507.7844,-54.931,1507.7844,-55.126,1507.7844,-54.355,1507.7844,-52.898
1507.8057,-54.773,1507.8057,-54.591,1507.8057,-54.916,1507.8057,-55.155,1507.8057,-54.344,1507.8057,-52.911
1507.8270,-54.737,1507.8270,-54.622,1507.8270,-54.948,1507.8270,-55.156,1507.8270,-54.328,1507.8270,-52.885
1507.8482,-54.651,1507.8482,-54.559,1507.8482,-54.961,1507.8482,-55.080,1507.8482,-54.247,1507.8482,-52.841
1507.8695,-54.659,1507.8695,-54.592,1507.8695,-54.977,1507.8695,-55.177,1507.8695,-54.267,1507.8695,-52.831
1507.8907,-54.587,1507.8907,-54.524,1507.8907,-54.891,1507.8907,-55.087,1507.8907,-54.245,1507.8907,-52.795
1507.9120,-54.689,1507.9120,-54.648,1507.9120,-54.969,1507.9120,-55.066,1507.9120,-54.170,1507.9120,-52.764
1507.9332,-54.626,1507.9332,-54.518,1507.9332,-54.950,1507.9332,-55.081,1507.9332,-54.171,1507.9332,-52.677
1507.9545,-54.542,1507.9545,-54.651,1507.9545,-54.929,1507.9545,-55.057,1507.9545,-54.134,1507.9545,-52.704
1507.9757,-54.536,1507.9757,-54.606,1507.9757,-54.979,1507.9757,-54.995,1507.9757,-54.114,1507.9757,-52.625
1507.9970,-54.563,1507.9970,-54.629,1507.9970,-54.902,1507.9970,-55.013,1507.9970,-54.056,1507.9970,-52.616
1508.0183,-54.548,1508.0183,-54.568,1508.0183,-55.019,1508.0183,-54.982,1508.0183,-54.024,1508.0183,-52.548
1508.0395,-54.474,1508.0395,-54.574,1508.0395,-54.940,1508.0395,-55.031,1508.0395,-54.025,1508.0395,-52.549
1508.0608,-54.549,1508.0608,-54.635,1508.0608,-54.924,1508.0608,-54.910,1508.0608,-54.018,1508.0608,-52.568
1508.0820,-54.466,1508.0820,-54.572,1508.0820,-54.950,1508.0820,-54.909,1508.0820,-53.921,1508.0820,-52.491
1508.1033,-54.484,1508.1033,-54.509,1508.1033,-54.983,1508.1033,-54.929,1508.1033,-53.910,1508.1033,-52.464
