1507.2106, -45.999
1507.2318, -45.988
1507.2531, -45.980
1507.2743, -45.963
1507.2956, -45.968
1507.3168, -45.944
1507.3381, -45.933
1507.3593, -45.919
1507.3806, -45.912
1507.4019, -45.896
1507.4231, -45.884
1507.4444, -45.879
1507.4656, -45.859
1507.4869, -45.855
1507.5081, -45.846
1507.5294, -45.827
1507.5506, -45.820
1507.5719, -45.810
1507.5931, -45.792
1507.6144, -45.780
1507.6357, -45.766
1507.6569, -45.761
1507.6782, -45.739
1507.6994, -45.730
1507.7207, -45.721
1507.7419, -45.711
1507.7632, -45.707
1507.7844, -45.686
1507.8057, -45.697
1507.8270, -45.682
1507.8482, -45.655
1507.8695, -45.654
1507.8907, -45.636
1507.9120, -45.620
1507.9332, -45.604
1507.9545, -45.592
1507.9757, -45.592
1507.9970, -45.575
1508.0183, -45.555
1508.0395, -45.548
1508.0608, -45.533
1508.0820, -45.522
1508.1033, -45.508
1508.1245, -45.498
1508.1458, -45.483
1508.1670, -45.468
1508.1883, -45.464
1508.2096, -45.443
1508.2308, -45.438
1508.2521, -45.423
1508.2733, -45.408
1508.2946, -45.397
1508.3158, -45.385
1508.3371, -45.376
1508.3583, -45.365
1508.3796, -45.351
1508.4009, -45.344
1508.4221, -45.324
1508.4434, -45.297
1508.4646, -45.295
1508.4859, -45.285
1508.5071, -45.263
1508.5284, -45.261
1508.5496, -45.242
1508.5709, -45.229
1508.5921, -45.221
1508.6134, -45.213
1508.6347, -45.199
1508.6559, -45.186
1508.6772, -45.179
1508.6984, -45.154
1508.7197, -45.144
1508.7409, -45.130
1508.7622, -45.115
1508.7834, -45.106
1508.8047, -45.087
1508.8260, -45.077
1508.8472, -45.070
1508.8685, -45.055
1508.8897, -45.047
1508.9110, -45.023
1508.9322, -45.012
1508.9535, -45.001
1508.9747, -44.995
1508.9960, -44.980
1509.0173, -44.965
1509.0385, -44.959
1509.0598, -44.939
1509.0810, -44.914
1509.1023, -44.921
1509.1235, -44.900
1509.1448, -44.884
1509.1660, -44.877
1509.1873, -44.860
1509.2086, -44.847
1509.2298, -44.828
1509.2511, -44.821
1509.2723, -44.808
1509.2936, -44.799
1509.3148, -44.783
1509.3361, -44.771
1509.3573, -44.754
1509.3786, -44.744
1509.3998, -44.721
1509.4211, -44.711
1509.4424, -44.706
1509.4636, -44.687
1509.4849, -44.669
1509.5061, -44.666
1509.5274, -44.645
1509.5486, -44.631
1509.5699, -44.620
1509.5911, -44.607
1509.6124, -44.590
1509.6337, -44.578
1509.6549, -44.568
1509.6762, -44.550
1509.6974, -44.534
1509.7187, -44.519
1509.7399, -44.509
1509.7612, -44.503
1509.7824, -44.484
1509.8037, -44.466
1509.8250, -44.454
1509.8462, -44.442
1509.8675, -44.427
1509.8887, -44.407
1509.9100, -44.394
1509.9312, -44.381
1509.9525, -44.365
1509.9737, -44.357
1509.9950, -44.335
1510.0163, -44.327
1510.0375, -44.301
1510.0588, -44.298
1510.0800, -44.276
1510.1013, -44.263
1510.1225, -44.257
1510.1438, -44.234
1510.1650, -44.227
1510.1863, -44.208
1510.2076, -44.192
1510.2288, -44.176
1510.2501, -44.165
1510.2713, -44.155
1510.2926, -44.140
1510.3138, -44.120
1510.3351, -44.114
1510.3563, -44.092
1510.3776, -44.079
1510.3988, -44.066
1510.4201, -44.049
1510.4414, -44.040
1510.4626, -44.023
1510.4839, -44.017
1510.5051, -43.997
1510.5264, -43.981
1510.5476, -43.968
1510.5689, -43.958
1510.5901, -43.945
1510.6114, -43.923
1510.6327, -43.907
1510.6539, -43.893
1510.6752, -43.879
1510.6964, -43.860
1510.7177, -43.849
1510.7389, -43.831
1510.7602, -43.819
1510.7814, -43.795
1510.8027, -43.787
1510.8240, -43.773
